           1        3166
 event,miss,iscat,jscat=           1           0         141          98
    -2    0.139    0.199      0.070  0.006    -1.18    -4.57     0.05     0.12
    -1   -0.672   -0.360     -0.070  0.010    -1.15    -4.56     0.03     0.11
    -2    0.188    0.085     -0.133  0.006    -1.18    -4.56     0.05     0.13
    -1   -0.720   -0.246      0.134  0.010    -1.16    -4.57     0.03     0.13
 event,miss,iscat,jscat=           1           0         171         141
     3   -0.054   -0.074      0.369  0.199    -1.18    -4.51     0.06     0.13
    -2    0.188    0.085     -0.133  0.006    -1.18    -4.56     0.05     0.13
     3    0.116    0.279      0.112  0.199    -1.18    -4.52     0.06     0.14
    -2    0.017   -0.268      0.124  0.006    -1.17    -4.56     0.05     0.14
 event,miss,iscat,jscat=           1           0         141          98
    -2    0.017   -0.268      0.124  0.006    -1.17    -4.56     0.05     0.14
    -1   -0.720   -0.246      0.134  0.010    -1.16    -4.57     0.03     0.13
    -2    0.011   -0.288      0.072  0.006    -1.17    -4.56     0.05     0.14
    -1   -0.714   -0.226      0.186  0.010    -1.17    -4.57     0.03     0.14
 event,miss,iscat,jscat=           1           0         142          97
     2    1.289   -0.728      0.700  0.006    -1.18    -4.57     0.05     0.12
    -2   -0.559   -0.349      0.645  0.006    -1.15    -4.56     0.03     0.11
     2    1.301   -0.786      0.799  0.006    -1.17    -4.58     0.06     0.15
    -2   -0.572   -0.291      0.546  0.006    -1.17    -4.57     0.05     0.15
 event,miss,iscat,jscat=           1           0         231          68
    -2   -0.344   -0.500     -0.050  0.006     1.47    -0.81     0.03     0.14
    -2    0.040    0.066     -0.003  0.006     1.68    -1.02     0.07     0.10
    -2   -0.145   -0.494     -0.026  0.006     1.46    -0.82     0.03     0.15
    -2   -0.159    0.059     -0.028  0.006     1.71    -0.98     0.06     0.15
 event,miss,iscat,jscat=           1           0         141          97
    -2    0.011   -0.288      0.072  0.006    -1.17    -4.56     0.05     0.14
    -2   -0.572   -0.291      0.546  0.006    -1.17    -4.57     0.05     0.15
    -2   -0.035   -0.000     -0.082  0.006    -1.17    -4.57     0.05     0.15
    -2   -0.525   -0.580      0.701  0.006    -1.17    -4.57     0.06     0.15
 event,miss,iscat,jscat=           1           0          59          34
    -2   -0.209    0.228     -0.207  0.006     1.79     0.18     0.01     0.10
     2    0.131   -0.175     -0.140  0.006     1.89     0.39    -0.05     0.09
    -2   -0.064    0.280     -0.264  0.006     1.76     0.21    -0.02     0.15
     2   -0.014   -0.227     -0.083  0.006     1.93     0.34    -0.09     0.15
 event,miss,iscat,jscat=           1           0         260           8
     2    0.345   -0.321     -0.099  0.006    -0.91    -4.28     0.06     0.15
     2   -0.130    0.161     -0.078  0.006    -0.85    -4.36    -0.00     0.07
     2   -0.046    0.091      0.172  0.006    -0.90    -4.29     0.06     0.16
     2    0.261   -0.251     -0.349  0.006    -0.90    -4.29    -0.03     0.16
 event,miss,iscat,jscat=           1           0         210          60
    -2   -0.087   -0.215     -0.002  0.006    -1.91     1.68     0.02     0.14
     1    0.067    0.279      0.180  0.010    -2.20     1.68     0.03     0.10
    -2   -0.201    0.211      0.172  0.006    -1.92     1.66     0.02     0.17
     1    0.180   -0.147      0.006  0.010    -2.18     1.73     0.06     0.17
 event,miss,iscat,jscat=           1           0         217         134
     2   -0.056    0.156     -0.487  0.006     2.90    -0.61    -0.06     0.14
    -2   -0.091   -0.819     -0.081  0.006     2.64    -0.50    -0.00     0.12
     2    0.335   -0.216     -0.557  0.006     2.90    -0.60    -0.09     0.17
    -2   -0.482   -0.447     -0.010  0.006     2.63    -0.55    -0.01     0.17
 event,miss,iscat,jscat=           1           0         318         146
     1   -0.002   -0.044      0.007  0.010     3.49    -0.15    -0.09     0.15
    -1    0.082    0.258     -0.285  0.010     3.51    -0.22    -0.07     0.13
     1    0.117    0.008     -0.160  0.010     3.49    -0.17    -0.09     0.17
    -1   -0.037    0.206     -0.119  0.010     3.52    -0.19    -0.11     0.17
 event,miss,iscat,jscat=           1           0          58          35
     1   -0.099    1.530      0.405  0.010     1.79     0.18     0.01     0.10
    -3    0.111   -2.539     -1.932  0.199     1.89     0.39    -0.05     0.09
     1   -0.886    0.501      1.176  0.010     1.79     0.25     0.03     0.18
    -3    0.898   -1.510     -2.703  0.199     1.90     0.32    -0.11     0.18
 event,miss,iscat,jscat=           1           0         317         147
     1    0.344    0.289     -0.833  0.010     3.49    -0.15    -0.09     0.15
    -3    0.185    0.417     -0.232  0.199     3.51    -0.22    -0.07     0.13
     1    0.226   -0.031     -0.220  0.010     3.50    -0.14    -0.11     0.18
    -3    0.302    0.737     -0.845  0.199     3.53    -0.17    -0.10     0.18
 event,miss,iscat,jscat=           1           0         157          22
    -1    0.170    0.046      0.206  0.010     0.86    -2.71     0.08     0.13
    -2   -0.206   -1.509     -0.612  0.006     0.90    -2.41    -0.01     0.08
    -1    0.017   -1.438      0.064  0.010     0.89    -2.70     0.13     0.18
    -2   -0.053   -0.025     -0.470  0.006     0.88    -2.50    -0.05     0.18
 event,miss,iscat,jscat=           1           0         315         207
    -2    0.366   -0.615      0.157  0.006    -0.94    -1.89     0.06     0.15
    -2    0.006    0.128     -0.027  0.006    -1.04    -1.99     0.04     0.14
    -2   -0.077   -0.367     -0.019  0.006    -0.93    -1.91     0.07     0.18
    -2    0.449   -0.120      0.149  0.006    -1.04    -1.95     0.03     0.18
 event,miss,iscat,jscat=           1           0         480         445
    -2   -0.162    0.094      0.024  0.006     0.93     0.09    -0.06     0.18
    -1    0.465   -0.170     -0.008  0.010     0.87    -0.02     0.10     0.17
    -2    0.369    0.045     -0.203  0.006     0.92     0.10    -0.06     0.18
    -1   -0.066   -0.121      0.220  0.010     0.88    -0.02     0.09     0.18
