Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      5.48     0.00     2432     0.00     0.00  fd2_
  0.00      5.48     0.00     2316     0.00     0.00  ludbrb_
  0.00      5.48     0.00     1666     0.00     0.00  fd1_
  0.00      5.48     0.00     1625     0.00     0.00  gauss2_
  0.00      5.48     0.00     1625     0.00     0.00  omg0_
  0.00      5.48     0.00     1457     0.00     0.00  decomp_
  0.00      5.48     0.00     1441     0.00     0.00  gauss1_
  0.00      5.48     0.00     1294     0.00     0.00  ppxs_
  0.00      5.48     0.00     1290     0.00     0.00  pywidt_
  0.00      5.48     0.00      855     0.00     0.00  fdr_
  0.00      5.48     0.00      827     0.00     0.00  luedit_
  0.00      5.48     0.00      821     0.00     0.00  hirnd2_
  0.00      5.48     0.00      759     0.00     0.00  ludecy_
  0.00      5.48     0.00      699     0.00     0.00  resdec_
  0.00      5.48     0.00      629     0.00     0.00  resmass_
  0.00      5.48     0.00      611     0.00     0.00  crkpla_
  0.00      5.48     0.00      596     0.00     0.00  atrobo_
  0.00      5.48     0.00      579     0.00     0.00  crksph_
  0.00      5.48     0.00      539     0.00     0.00  petopp_
  0.00      5.48     0.00      504     0.00     0.00  fnjet_
  0.00      5.48     0.00      504     0.00     0.00  sgmin_
  0.00      5.48     0.00      400     0.00     0.00  pinsg0_
  0.00      5.48     0.00      373     0.00     0.00  lushow_
  0.00      5.48     0.00      365     0.00     0.00  luprep_
  0.00      5.48     0.00      300     0.00     0.00  crpp_
  0.00      5.48     0.00      292     0.00     0.00  rotate_
  0.00      5.48     0.00      269     0.00     0.00  w1535_
  0.00      5.48     0.00      268     0.00     0.00  hijfrg_
  0.00      5.48     0.00      268     0.00     0.00  luexec_
  0.00      5.48     0.00      264     0.00     0.00  hirnd_
  0.00      5.48     0.00      261     0.00     0.00  attflv_
  0.00      5.48     0.00      258     0.00     0.00  ptdis_
  0.00      5.48     0.00      194     0.00     0.00  pyspli_
  0.00      5.48     0.00      192     0.00     0.00  w1440_
  0.00      5.48     0.00      163     0.00     0.00  reab_
  0.00      5.48     0.00      162     0.00     0.00  hijsft_
  0.00      5.48     0.00      152     0.00     0.00  ar3jet_
  0.00      5.48     0.00      152     0.00     0.00  arorie_
  0.00      5.48     0.00      151     0.00     0.00  pnlka_
  0.00      5.48     0.00      150     0.00     0.00  inidcy_
  0.00      5.48     0.00      148     0.00     0.00  akpsgm_
  0.00      5.48     0.00      142     0.00     0.00  aknsgm_
  0.00      5.48     0.00      138     0.00     0.00  pptope_
  0.00      5.48     0.00      136     0.00     0.00  pnska_
  0.00      5.48     0.00      128     0.00     0.00  dpion_
  0.00      5.48     0.00      113     0.00     0.00  pionpp_
  0.00      5.48     0.00      113     0.00     0.00  pipp1_
  0.00      5.48     0.00      108     0.00     0.00  lustrf_
  0.00      5.48     0.00      106     0.00     0.00  retorp_
  0.00      5.48     0.00      105     0.00     0.00  dirct1_
  0.00      5.48     0.00      101     0.00     0.00  phimes_
  0.00      5.48     0.00       97     0.00     0.00  hirobo_
  0.00      5.48     0.00       97     0.00     0.00  lurobo_
  0.00      5.48     0.00       97     0.00     0.00  pyfram_
  0.00      5.48     0.00       97     0.00     0.00  pyrand_
  0.00      5.48     0.00       97     0.00     0.00  pyremn_
  0.00      5.48     0.00       97     0.00     0.00  pyresd_
  0.00      5.48     0.00       97     0.00     0.00  pyscat_
  0.00      5.48     0.00       97     0.00     0.00  pythia_
  0.00      5.48     0.00       91     0.00     0.00  akplam_
  0.00      5.48     0.00       90     0.00     0.00  dirct2_
  0.00      5.48     0.00       81     0.00     0.00  xoe2op_
  0.00      5.48     0.00       76     0.00     0.00  aknpsg_
  0.00      5.48     0.00       71     0.00     0.00  lulist_
  0.00      5.48     0.00       70     0.00     0.00  aknel_
  0.00      5.48     0.00       67     0.00     0.00  lugive_
  0.00      5.48     0.00       64     0.00     0.00  rptore_
  0.00      5.48     0.00       61     0.00     0.00  akpel_
  0.00      5.48     0.00       52     0.00     0.00  xn1535_
  0.00      5.48     0.00       46     0.00     0.00  crkphi_
  0.00      5.48     0.00       45     0.00     0.00  erhon_
  0.00      5.48     0.00       42     0.00     0.00  hijhrd_
  0.00      5.48     0.00       42     0.00     0.00  jetini_
  0.00      5.48     0.00       38     0.00     0.00  xppbar_
  0.00      5.48     0.00       36     0.00     0.00  getnst_
  0.00      5.48     0.00       35     0.00     0.00  dreson_
  0.00      5.48     0.00       32     0.00     0.00  etop_
  0.00      5.48     0.00       32     0.00     0.00  pertur_
  0.00      5.48     0.00       32     0.00     0.00  rhores_
  0.00      5.48     0.00       31     0.00     0.00  rtop_
  0.00      5.48     0.00       30     0.00     0.00  rrtoee_
  0.00      5.48     0.00       29     0.00     0.00  hijcsc_
  0.00      5.48     0.00       29     0.00     0.00  hijels_
  0.00      5.48     0.00       28     0.00     0.00  ptr_
  0.00      5.48     0.00       27     0.00     0.00  aknlam_
  0.00      5.48     0.00       27     0.00     0.00  xop2oe_
  0.00      5.48     0.00       24     0.00     0.00  fhin_
  0.00      5.48     0.00       24     0.00     0.00  ftot_
  0.00      5.48     0.00       24     0.00     0.00  ftotjt_
  0.00      5.48     0.00       24     0.00     0.00  ftotrg_
  0.00      5.48     0.00       23     0.00     0.00  xkksan_
  0.00      5.48     0.00       22     0.00     0.00  attrad_
  0.00      5.48     0.00       21     0.00     0.00  denom_
  0.00      5.48     0.00       21     0.00     0.00  pibphi_
  0.00      5.48     0.00       20     0.00     0.00  threpi_
  0.00      5.48     0.00       19     0.00     0.00  crdir_
  0.00      5.48     0.00       16     0.00     0.00  robbar_
  0.00      5.48     0.00       16     0.00     0.00  xkkann_
