 id, px, py, pz, e, mass, x, y, z, t,                 lstrg, lpart, vx, vy, vz, xstrg, ystrg, istrg
     1        0.0238       -0.5964       -0.6737        0.9001        0.0099        0.1931       -1.0585        0.0000        0.3994        16       1       -0.0798       -0.2438       -0.9155        0.1931       -1.0585             1
    -3       -0.2670       -0.1467       -2.1174        2.1485        0.1990        0.1931       -1.0585        0.0000        0.3994        16       2       -0.0798       -0.2438       -0.9155        0.1931       -1.0585             1
     2       -0.6652       -0.4006        1.5262        1.7124        0.0056       -2.3041        0.9507        0.0000        0.3418        17       1       -0.4063       -0.2626        0.8269       -2.3041        0.9507             2
    -2       -0.0754       -0.0781       -0.0190        0.1103        0.0056       -2.3041        0.9507        0.0000        0.3418        17       2       -0.4063       -0.2626        0.8269       -2.3041        0.9507             2
     2        0.0219        0.2282        0.9050        0.9336        0.0056       -2.3041        0.9507        0.0000        1.2547        18       1        0.0899        0.2737        0.9543       -2.3041        0.9507             2
    -1        0.1362        0.2531        0.7737        0.8254        0.0099       -2.3041        0.9507        0.0000        1.2547        18       2        0.0899        0.2737        0.9543       -2.3041        0.9507             2
     2       -0.6463        0.5450        1.4486        1.6773        0.0056       -2.3041        0.9507        0.0000        0.2332        19       1       -0.1668        0.3720        0.8946       -2.3041        0.9507             2
    -2       -0.0595        1.0292        2.3376        2.5548        0.0056       -2.3041        0.9507        0.0000        0.2332        19       2       -0.1668        0.3720        0.8946       -2.3041        0.9507             2
     1       -0.0327       -0.6157        0.8369        1.0396        0.0099       -2.3041        0.9507        0.0000        0.2867        20       1       -0.2469       -0.5167        0.7302       -2.3041        0.9507             2
    -1       -0.3307       -0.1448        0.2379        0.4324        0.0099       -2.3041        0.9507        0.0000        0.2867        20       2       -0.2469       -0.5167        0.7302       -2.3041        0.9507             2
     2        0.7158       -1.0399        0.2695        1.2909        0.0056       -2.3041        0.9507        0.0000        0.1076        21       1        0.5929       -0.7762        0.2025       -2.3041        0.9507             2
    -2        0.4162       -0.4421        0.1172        0.6184        0.0056       -2.3041        0.9507        0.0000        0.1076        21       2        0.5929       -0.7762        0.2025       -2.3041        0.9507             2
     3        0.1272       -0.0618        0.5377        0.5905        0.1990       -2.3041        0.9507        0.0000        0.2495        22       1        0.3163        0.1527        0.3716       -2.3041        0.9507             2
    -2        0.1626        0.2016       -0.1973        0.3256        0.0056       -2.3041        0.9507        0.0000        0.2495        22       2        0.3163        0.1527        0.3716       -2.3041        0.9507             2
     2       -0.1460       -0.0304        0.0790        0.1688        0.0056       -2.3041        0.9507        0.0000        0.2444        23       1       -0.7408       -0.0125       -0.4762       -2.3041        0.9507             2
    -3       -0.6262        0.0173       -0.5753        0.8735        0.1990       -2.3041        0.9507        0.0000        0.2444        23       2       -0.7408       -0.0125       -0.4762       -2.3041        0.9507             2
     1        0.0203       -0.0113        0.0157        0.0297        0.0099       -2.3041        0.9507        0.0000        0.1415        24       1        0.4497       -0.5221        0.7231       -2.3041        0.9507             2
    -2        1.2920       -1.5124        2.0947        2.8886        0.0056       -2.3041        0.9507        0.0000        0.1415        24       2        0.4497       -0.5221        0.7231       -2.3041        0.9507             2
     1        0.0857       -0.2208        0.1726        0.2932        0.0099       -2.3041        0.9507        0.0000        0.8385        25       1        0.3841       -0.5920        0.6096       -2.3041        0.9507             2
    -1        0.0579       -0.0006        0.0553        0.0807        0.0099       -2.3041        0.9507        0.0000        0.8385        25       2        0.3841       -0.5920        0.6096       -2.3041        0.9507             2
     1       -0.1261       -0.1653        0.0792        0.2228        0.0099       -2.3041        0.9507        0.0000        0.6965        26       1       -0.2891       -0.7635        0.4248       -2.3041        0.9507             2
    -1        0.0264       -0.0982        0.0674        0.1224        0.0099       -2.3041        0.9507        0.0000        0.6965        26       2       -0.2891       -0.7635        0.4248       -2.3041        0.9507             2
     1        0.1184        0.0479        0.1203        0.1758        0.0099       -2.3041        0.9507        0.0000        0.2592        27       1       -0.0602       -0.6897        0.2555       -2.3041        0.9507             2
    -1       -0.1674       -0.6088        0.0875        0.6375        0.0099       -2.3041        0.9507        0.0000        0.2592        27       2       -0.0602       -0.6897        0.2555       -2.3041        0.9507             2
     3       -0.6085       -0.0181       -3.2703        3.3324        0.1990       -2.3480       -3.2789        0.0000        0.5312        28       1       -0.1834       -0.0578       -0.9799       -2.3480       -3.2789             3
    -2       -1.1019       -0.5209       -5.8702        5.9954        0.0056       -2.3480       -3.2789        0.0000        0.5312        28       2       -0.1834       -0.0578       -0.9799       -2.3480       -3.2789             3
     2        0.0531       -0.0175       -0.1485        0.1588        0.0056       -2.3480       -3.2789        0.0000        0.5165        29       1        0.3605       -0.3746       -0.8480       -2.3480       -3.2789             3
    -1        0.4364       -0.4913       -1.0031        1.1992        0.0099       -2.3480       -3.2789        0.0000        0.5165        29       2        0.3605       -0.3746       -0.8480       -2.3480       -3.2789             3
     1       -0.7366       -0.7249       -1.8240        2.0965        0.0099       -2.3480       -3.2789        0.0000        0.3671        30       1       -0.3515       -0.3284       -0.8746       -2.3480       -3.2789             3
    -2       -0.0656       -0.0246       -0.1722        0.1860        0.0056       -2.3480       -3.2789        0.0000        0.3671        30       2       -0.3515       -0.3284       -0.8746       -2.3480       -3.2789             3
     2       -0.3044        0.0023       -0.7970        0.8532        0.0056       -2.3480       -3.2789        0.0000        0.6849        31       1       -0.1910        0.0048       -0.9790       -2.3480       -3.2789             3
    -3       -1.0159        0.0306       -5.9689        6.0581        0.1990       -2.3480       -3.2789        0.0000        0.6849        31       2       -0.1910        0.0048       -0.9790       -2.3480       -3.2789             3
     3        0.9934        2.2014       -1.9034        3.0815        0.1990       -2.3480       -3.2789        0.0000        0.0859        32       1        0.3947        0.6275       -0.6222       -2.3480       -3.2789             3
    -2        0.4834        0.1464       -0.4245        0.6598        0.0056       -2.3480       -3.2789        0.0000        0.0859        32       2        0.3947        0.6275       -0.6222       -2.3480       -3.2789             3
     1       -0.6079       -0.5058       -0.3731        0.8745        0.0099       -2.3480       -3.2789        0.0000        0.1987        33       1       -0.3798       -0.5689       -0.6043       -2.3480       -3.2789             3
    -1        0.0146       -0.3829       -0.5708        0.6876        0.0099       -2.3480       -3.2789        0.0000        0.1987        33       2       -0.3798       -0.5689       -0.6043       -2.3480       -3.2789             3
     2       -0.1287        0.0878       -0.6595        0.6777        0.0056       -2.3480       -3.2789        0.0000        1.4428        34       1        0.0655       -0.0296       -0.9639       -2.3480       -3.2789             3
    -3        0.2548       -0.1447       -1.1956        1.2469        0.1990       -2.3480       -3.2789        0.0000        1.4428        34       2        0.0655       -0.0296       -0.9639       -2.3480       -3.2789             3
     3       -0.3752        0.7318       -2.1033        2.2671        0.1990       -2.3480       -3.2789        0.0000        0.4232        35       1       -0.0507        0.1953       -0.9193       -2.3480       -3.2789             3
    -3        0.2227       -0.1447       -0.6599        0.7387        0.1990       -2.3480       -3.2789        0.0000        0.4232        35       2       -0.0507        0.1953       -0.9193       -2.3480       -3.2789             3
     3        0.7892       -0.2086        1.4241        1.6535        0.1990       -2.3480       -3.2789        0.0000        0.2980        36       1        0.5037       -0.0206        0.8320       -2.3480       -3.2789             3
    -1        0.2925        0.1643        0.3627        0.4942        0.0099       -2.3480       -3.2789        0.0000        0.2980        36       2        0.5037       -0.0206        0.8320       -2.3480       -3.2789             3
     1        0.1396       -0.9612       -0.3371        1.0281        0.0099       -2.3480       -3.2789        0.0000        0.1150        37       1        0.4259       -0.7166       -0.1114       -2.3480       -3.2789             3
    -3        0.5988       -0.2813        0.1439        0.7057        0.1990       -2.3480       -3.2789        0.0000        0.1150        37       2        0.4259       -0.7166       -0.1114       -2.3480       -3.2789             3
     2       -0.1343        0.0218       -1.0211        1.0302        0.0056       -2.3480       -3.2789        0.0000        7.3594        38       1       -0.0919        0.0100       -0.9883       -2.3480       -3.2789             3
