 K(j,2) ==         -321 IDSTR ==           92
 K(j,2) ==          223 IDSTR ==           92
 K(j,2) ==          223 IDSTR ==           92
 K(j,2) ==          211 IDSTR ==           92
 K(j,2) ==         2112 IDSTR ==           92
 K(j,2) ==          211 IDSTR ==           92
 K(j,2) ==        -2224 IDSTR ==           92
 K(j,2) ==          323 IDSTR ==           92
 K(j,2) ==         -311 IDSTR ==           92
 K(j,2) ==         -213 IDSTR ==           92
 K(j,2) ==          213 IDSTR ==           92
 K(j,2) ==         -213 IDSTR ==           92
 K(j,2) ==          113 IDSTR ==           92
 K(j,2) ==          211 IDSTR ==           92
 K(j,2) ==          223 IDSTR ==           92
 K(j,2) ==          313 IDSTR ==           92
 K(j,2) ==          113 IDSTR ==           92
 K(j,2) ==          211 IDSTR ==           92
 K(j,2) ==          223 IDSTR ==           92
 K(j,2) ==          221 IDSTR ==           92
 K(j,2) ==          111 IDSTR ==           92
 K(j,2) ==         -323 IDSTR ==           92
 K(j,2) ==          321 IDSTR ==           92
 K(j,2) ==         -211 IDSTR ==           92
 K(j,2) ==          111 IDSTR ==           92
 K(j,2) ==          111 IDSTR ==           92
 K(j,2) ==          221 IDSTR ==           92
 K(j,2) ==         -321 IDSTR ==           92
 K(j,2) ==          211 IDSTR ==           92
 K(j,2) ==         -211 IDSTR ==           92
 K(j,2) ==          321 IDSTR ==           92
 K(j,2) ==         -323 IDSTR ==           92
 K(j,2) ==          113 IDSTR ==           92
 K(j,2) ==          321 IDSTR ==           92
 K(j,2) ==          333 IDSTR ==           92
 K(j,2) ==         -311 IDSTR ==           92
 K(j,2) ==          313 IDSTR ==           92
 K(j,2) ==          211 IDSTR ==           92
 K(j,2) ==         -211 IDSTR ==           92
 K(j,2) ==          221 IDSTR ==           92
 K(j,2) ==          323 IDSTR ==           92
 K(j,2) ==         -311 IDSTR ==           92
 K(j,2) ==          111 IDSTR ==           92
 K(j,2) ==         1114 IDSTR ==           92
 K(j,2) ==          111 IDSTR ==           92
 K(j,2) ==        -1114 IDSTR ==           92
 K(j,2) ==         -213 IDSTR ==           92
 K(j,2) ==         2212 IDSTR ==           92
 K(j,2) ==         -211 IDSTR ==           92
 K(j,2) ==        -2112 IDSTR ==           92
 K(j,2) ==          323 IDSTR ==           92
 K(j,2) ==          333 IDSTR ==           92
 K(j,2) ==          213 IDSTR ==           92
 K(j,2) ==        -2214 IDSTR ==           92
 K(j,2) ==          321 IDSTR ==           92
 K(j,2) ==         -321 IDSTR ==           92
 K(j,2) ==          213 IDSTR ==           92
 K(j,2) ==         -211 IDSTR ==           92
 K(j,2) ==         3122 IDSTR ==           92
 K(j,2) ==         -211 IDSTR ==           92
 K(j,2) ==         -213 IDSTR ==           92
 K(j,2) ==          211 IDSTR ==           92
 K(j,2) ==          113 IDSTR ==           92
 K(j,2) ==          313 IDSTR ==           92
 K(j,2) ==          221 IDSTR ==           92
 K(j,2) ==          333 IDSTR ==           92
 K(j,2) ==         3122 IDSTR ==           92
 K(j,2) ==        -3122 IDSTR ==           92
 K(j,2) ==         3322 IDSTR ==           92
 K(j,2) ==          311 IDSTR ==           92
 K(j,2) ==        -2212 IDSTR ==           92
 K(j,2) ==          323 IDSTR ==           92
 K(j,2) ==          333 IDSTR ==           92
 K(j,2) ==         -313 IDSTR ==           92
 K(j,2) ==        -2114 IDSTR ==           92
 K(j,2) ==         -213 IDSTR ==           92
 K(j,2) ==         2214 IDSTR ==           92
 K(j,2) ==          213 IDSTR ==           92
 K(j,2) ==          111 IDSTR ==           92
 K(j,2) ==        -2212 IDSTR ==           92
 K(j,2) ==          213 IDSTR ==           92
 K(j,2) ==         1114 IDSTR ==           92
 K(j,2) ==          213 IDSTR ==           92
 K(j,2) ==          223 IDSTR ==           92
 K(j,2) ==         -211 IDSTR ==           92
 K(j,2) ==          211 IDSTR ==           92
 K(j,2) ==          223 IDSTR ==           92
 K(j,2) ==         -211 IDSTR ==           92
 K(j,2) ==        -1114 IDSTR ==           92
 K(j,2) ==          311 IDSTR ==           92
 K(j,2) ==          311 IDSTR ==           92
 K(j,2) ==          111 IDSTR ==           92
 K(j,2) ==         -311 IDSTR ==           92
 K(j,2) ==          311 IDSTR ==           92
 K(j,2) ==          211 IDSTR ==           92
 K(j,2) ==         -211 IDSTR ==           92
 K(j,2) ==          221 IDSTR ==           92
 K(j,2) ==          223 IDSTR ==           92
 K(j,2) ==          113 IDSTR ==           92
 K(j,2) ==          213 IDSTR ==           92
 K(j,2) ==         -211 IDSTR ==           92
 K(j,2) ==          213 IDSTR ==           92
 K(j,2) ==         -323 IDSTR ==           92
 K(j,2) ==          321 IDSTR ==           92
 K(j,2) ==          221 IDSTR ==           92
 K(j,2) ==        -2224 IDSTR ==           92
 K(j,2) ==          211 IDSTR ==           92
 K(j,2) ==         2112 IDSTR ==           92
 K(j,2) ==         3322 IDSTR ==           92
 K(j,2) ==         -211 IDSTR ==           92
 K(j,2) ==          111 IDSTR ==           92
 K(j,2) ==          111 IDSTR ==           92
 K(j,2) ==          221 IDSTR ==           92
