         3    0.0600   -0.0589   -0.2737    0.3487    0.1990
        -2   -0.1537    0.0160   -0.0104    0.1550    0.0056
         2   -0.0097   -0.1426   -0.0955    0.1720    0.0056
        -2   -0.1969   -1.1105   -0.8538    1.4146    0.0056
         2    0.6852    0.7907    9.3964    9.4545    0.0056
        -2   -0.0175   -0.0856    1.9282    1.9302    0.0056
         2   -0.3827    0.0469   -0.1430    0.4112    0.0056
        -1    0.2018   -0.0242    0.0797    0.2185    0.0099
         2   -0.2264   -0.1489   -0.2261    0.3530    0.0056
         1    0.0307    0.0605   -0.0239    0.0726    0.0099
         1    0.1396    0.0308    0.0049    0.1434    0.0099
         2    0.3729   -0.1949    3.1491    3.1771    0.0056
        -1   -0.0990   -0.2082    1.4279    1.4464    0.0099
        -2    0.7303    0.0036    0.5081    0.8897    0.0056
        -2    0.2963   -0.2111    1.2494    1.3013    0.0056
        -2   -0.3191   -0.4890    0.6783    0.8950    0.0056
         2    0.2348    0.0580    0.1638    0.2921    0.0056
        -3    0.2139    0.4074   -0.6910    0.8537    0.1990
         3    1.1345   -0.3060   -0.3825    1.2517    0.1990
        -1   -0.0013    0.0616    0.0112    0.0634    0.0099
         1    0.1162    0.2236    0.6189    0.6683    0.0099
        -2   -0.4861   -0.2796    1.8535    1.9365    0.0056
         2    0.0531   -0.0180   -0.0461    0.0728    0.0056
        -1    0.5784    0.6602   -0.5898    1.0575    0.0099
         1    1.1134    0.1000   -0.3707    1.1778    0.0099
        -2    0.3841   -0.5053   -0.3209    0.7113    0.0056
         1   -0.4888   -0.2059   -0.4261    0.6805    0.0099
        -1   -0.0540   -0.2973   -0.1251    0.3271    0.0099
         2    0.3091   -0.4029   -0.3682    0.6273    0.0056
        -1    0.1019   -0.4017   -0.4166    0.5877    0.0099
         2    0.1225   -0.1531   -1.8775    1.8878    0.0056
        -2   -0.2255   -0.3294  -33.7511   33.7534    0.0056
         1   -0.0416   -0.1902   -0.1265    0.2324    0.0099
        -3   -0.2737   -0.1657   -2.2018    2.2338    0.1990
         2   -0.0229    0.0329    0.0606    0.0728    0.0056
        -2    0.0898   -0.1914    1.0256    1.0472    0.0056
         2   -0.5052   -0.1903    2.2257    2.2902    0.0056
        -1   -0.0841   -0.0329    0.2452    0.2615    0.0099
         2   -0.8663    0.1004    1.3751    1.6283    0.0056
        -2   -0.5753    0.2634    3.3191    3.3789    0.0056
         1    0.0744   -0.4456    0.6551    0.7958    0.0099
        -1   -0.0726   -0.0572    0.3305    0.3433    0.0099
         2   -0.2467   -0.1125    0.0773    0.2820    0.0056
        -2   -0.1758    0.0748    0.1987    0.2757    0.0056
         3   -0.4235   -0.5412    0.1563    0.7323    0.1990
        -2    0.2074    0.0764   -0.0101    0.2214    0.0056
         2   -0.0921    0.0182   -0.0471    0.1052    0.0056
        -3   -0.4108   -0.1628   -0.1076    0.4964    0.1990
         1   -0.1036    0.0844   -0.1265    0.1842    0.0099
        -2    0.2703    0.6271    0.6329    0.9310    0.0056
         1   -0.1168   -0.2946    1.0479    1.0948    0.0099
        -1    0.1181   -0.1097    0.0066    0.1616    0.0099
         1   -1.2307   -0.5980    0.9156    1.6464    0.0099
        -1   -0.0432    0.1349    0.0693    0.1580    0.0099
         1   -0.6298   -0.2669    0.0076    0.6841    0.0099
        -1   -0.0377   -0.2489    0.0451    0.2559    0.0099
         3    0.1508   -0.1327   -1.9140    1.9347    0.1990
        -2   -0.9836   -0.3278   -5.2001    5.3024    0.0056
         2    0.1467   -0.0654   -0.5787    0.6007    0.0056
        -1   -0.0560   -0.1001   -0.8057    0.8139    0.0099
         1   -1.0533   -1.1955   -2.1081    2.6425    0.0099
        -2   -0.1429    0.0576   -0.2473    0.2914    0.0056
         2    0.0391   -0.3137   -2.3231    2.3445    0.0056
        -3   -0.2138   -0.0211   -1.7491    1.7735    0.1990
         3    0.0607   -0.0684   -0.1145    0.2471    0.1990
        -2    0.2522   -0.2007   -0.1200    0.3440    0.0056
         1   -0.5890   -0.1254   -0.6062    0.8545    0.0099
        -1    0.0289   -0.5432   -0.4202    0.6874    0.0099
         2   -0.1449   -0.1009   -0.5679    0.5948    0.0056
        -3    0.1993   -0.2577   -1.1378    1.2001    0.1990
         3    0.2279    0.2707   -1.0892    1.1624    0.1990
        -3    0.0439   -0.5950   -1.1900    1.3459    0.1990
         3   -0.5503   -0.5519    1.7891    1.9616    0.1990
        -1   -0.0047   -0.3370    0.2736    0.4343    0.0099
         1    0.0314   -0.2674   -0.2081    0.3405    0.0099
        -3    0.2879   -0.5116    0.0918    0.6266    0.1990
         2   -0.1343    0.0218   -1.0211    1.0302    0.0056
        -1   -0.0763   -0.0625   -0.6096    0.6176    0.0099
         1   -0.1318    0.1177   -0.6179    0.6428    0.0099
        -2   -0.0518   -0.5080   -6.0158    6.0374    0.0056
         2   -0.0556   -0.1275  -10.8464   10.8473    0.0056
        -2   -0.3864   -0.4608   -2.2456    2.3247    0.0056
         2   -0.5443   -0.1764    0.6400    0.8585    0.0056
        -3    0.1745    1.2040    0.9889    1.5803    0.1990
         3   -0.1334   -0.5509    1.0466    1.2068    0.1990
        -1    0.4625    0.1467    1.0967    1.1993    0.0099
         2   -0.6313    1.1655    0.8368    1.5675    0.0056
        -2   -0.0033    0.3685   -0.2583    0.4501    0.0056
         1   -0.1041   -0.1225    0.1612    0.2279    0.0099
         1   -0.6214   -0.9748    1.1587    1.6367    0.0099
         1    0.3751   -2.7852    7.6647    8.1637    0.0099
         1   -0.1132   -0.0047    1.9433    1.9467    0.0099
