 RANTOT :   0.485374808       GSTOT =    0.00000000    
 RANTOT :    1.25442708       GSTOT =    0.00000000    
 RANTOT :    2.42695007E-02   GSTOT =    0.00000000    
 RANTOT :    1.50411952       GSTOT =    0.00000000    
 RANTOT :    1.52865005       GSTOT =    0.00000000    
 RANTOT :    1.43131876       GSTOT =    0.00000000    
 RANTOT :    1.38675451       GSTOT =    0.00000000    
 RANTOT :    1.49101245       GSTOT =    0.00000000    
 RANTOT :   0.505683959       GSTOT =    0.00000000    
 RANTOT :    1.23087013       GSTOT =    0.00000000    
 RANTOT :   0.904990554       GSTOT =    0.00000000    
 RANTOT :   0.673175573       GSTOT =    0.00000000    
 RANTOT :   0.244566798       GSTOT =    0.00000000    
 RANTOT :    1.39295781       GSTOT =    0.00000000    
 RANTOT :    4.07096967E-02   GSTOT =    0.00000000    
 RANTOT :    1.01951301       GSTOT =    0.00000000    
 RANTOT :   0.924958587       GSTOT =    0.00000000    
 RANTOT :   0.338902652       GSTOT =    0.00000000    
 RANTOT :   0.691322267       GSTOT =    0.00000000    
 RANTOT :    1.32704592       GSTOT =    0.00000000    
 RANTOT :    1.25409782       GSTOT =    0.00000000    
 RANTOT :    1.08043075       GSTOT =    0.00000000    
 RANTOT :   0.864584923       GSTOT =    0.00000000    
 RANTOT :   0.432909489       GSTOT =    0.00000000    
 RANTOT :   0.692301095       GSTOT =    0.00000000    
 RANTOT :   0.914360940       GSTOT =    0.00000000    
 RANTOT :   0.139191940       GSTOT =    0.00000000    
 RANTOT :   0.429883242       GSTOT =    0.00000000    
 RANTOT :   0.699840009       GSTOT =    0.00000000    
 RANTOT :    1.08474422       GSTOT =    0.00000000    
 RANTOT :    1.29640758       GSTOT =    3.52969170E-02
 RANTOT :   0.817730606       GSTOT =    0.00000000    
 RANTOT :   0.999317348       GSTOT =    0.00000000    
 RANTOT :   0.294549435       GSTOT =    0.00000000    
 RANTOT :    1.25901735       GSTOT =    1.73771381E-03
 RANTOT :   0.533397734       GSTOT =    0.00000000    
 RANTOT :   0.635874689       GSTOT =    0.00000000    
 RANTOT :   0.263097912       GSTOT =    0.00000000    
 RANTOT :    1.12111664       GSTOT =    0.00000000    
 RANTOT :   0.731287360       GSTOT =    0.00000000    
 RANTOT :    1.24808705       GSTOT =    6.38169050E-02
 RANTOT :    1.22277093       GSTOT =    0.00000000    
 RANTOT :    1.13920522       GSTOT =    0.00000000    
 RANTOT :    1.09752738       GSTOT =    0.00000000    
 RANTOT :   0.692430198       GSTOT =    0.00000000    
 RANTOT :   0.419814289       GSTOT =    0.00000000    
 RANTOT :    8.15657154E-02   GSTOT =    0.00000000    
 RANTOT :   0.651160002       GSTOT =    0.00000000    
 RANTOT :    1.48832881       GSTOT =    0.00000000    
 RANTOT :    1.50560582       GSTOT =    1.80007219E-02
 RANTOT :   0.480934411       GSTOT =    0.00000000    
 RANTOT :    1.41548932       GSTOT =    0.00000000    
 RANTOT :    1.14199030       GSTOT =    0.00000000    
 RANTOT :    1.32255208       GSTOT =    0.00000000    
 RANTOT :    1.13986945       GSTOT =    0.00000000    
 RANTOT :   0.288869828       GSTOT =    0.00000000    
 RANTOT :    6.98092356E-02   GSTOT =    0.00000000    
 RANTOT :    1.48638606       GSTOT =    0.00000000    
 RANTOT :   0.651622951       GSTOT =    2.24964619E-02
 RANTOT :   0.330953717       GSTOT =    0.00000000    
 RANTOT :   0.236962751       GSTOT =    0.00000000    
 RANTOT :   0.915388823       GSTOT =    0.00000000    
 RANTOT :   0.698259354       GSTOT =    0.00000000    
 RANTOT :   0.551500797       GSTOT =    0.00000000    
 RANTOT :   0.366189063       GSTOT =    0.00000000    
 RANTOT :    1.05511236       GSTOT =    0.00000000    
 RANTOT :    1.47084987       GSTOT =    0.00000000    
 RANTOT :   0.759069860       GSTOT =    0.00000000    
 RANTOT :   0.263021290       GSTOT =    6.49256706E-02
 RANTOT :    1.33265054       GSTOT =    0.00000000    
 RANTOT :    1.02121699       GSTOT =    0.00000000    
 RANTOT :   0.565092504       GSTOT =    0.00000000    
 RANTOT :    1.17289710       GSTOT =    0.00000000    
 RANTOT :    5.41602038E-02   GSTOT =    0.00000000    
 RANTOT :   0.159748957       GSTOT =    0.00000000    
 RANTOT :   0.983960509       GSTOT =    0.00000000    
 RANTOT :   0.286491930       GSTOT =    0.00000000    
 RANTOT :   0.853303790       GSTOT =    0.00000000    
 RANTOT :   0.829680920       GSTOT =    0.00000000    
 RANTOT :   0.506530285       GSTOT =    3.91244888E-03
 RANTOT :   0.330748439       GSTOT =    0.00000000    
 RANTOT :    1.04600418       GSTOT =    0.00000000    
 RANTOT :   0.187741652       GSTOT =    0.00000000    
 RANTOT :    1.51647174       GSTOT =    0.00000000    
 RANTOT :   0.973287165       GSTOT =    0.00000000    
 RANTOT :    1.03423727       GSTOT =    0.00000000    
 RANTOT :   0.314835727       GSTOT =    0.00000000    
 RANTOT :   0.241159484       GSTOT =    0.00000000    
 RANTOT :   0.313010871       GSTOT =    0.00000000    
 RANTOT :   0.889806449       GSTOT =    0.00000000    
 RANTOT :   0.360520154       GSTOT =    0.00000000    
 RANTOT :   0.120223984       GSTOT =    0.00000000    
 RANTOT :    1.14111400       GSTOT =    0.00000000    
 RANTOT :   0.974625230       GSTOT =    0.00000000    
 RANTOT :   0.704857826       GSTOT =    0.00000000    
 RANTOT :    1.17251837       GSTOT =    0.00000000    
 RANTOT :   0.378470600       GSTOT =    0.00000000    
 RANTOT :   0.372279048       GSTOT =    0.00000000    
 RANTOT :   0.398620725       GSTOT =    0.00000000    
 RANTOT :    9.57981199E-02   GSTOT =    0.00000000    
 RANTOT :   0.710480094       GSTOT =    0.00000000    
 RANTOT :    1.17352939       GSTOT =    0.00000000    
 RANTOT :   0.760002792       GSTOT =    0.00000000    
 RANTOT :    1.44984281       GSTOT =    0.00000000    
 RANTOT :   0.638733685       GSTOT =    0.00000000    
 RANTOT :   0.585812092       GSTOT =    0.00000000    
 RANTOT :   0.638752759       GSTOT =    0.00000000    
 RANTOT :   0.809260011       GSTOT =    0.00000000    
 RANTOT :   0.578586936       GSTOT =    0.00000000    
 RANTOT :   0.246831119       GSTOT =    0.00000000    
 RANTOT :   0.290502071       GSTOT =    0.00000000    
 RANTOT :   0.360003591       GSTOT =    0.00000000    
 RANTOT :   0.102403104       GSTOT =    0.00000000    
 RANTOT :    1.20897949       GSTOT =    0.00000000    
 RANTOT :    1.33364797       GSTOT =    0.00000000    
 RANTOT :    1.29618752       GSTOT =    0.00000000    
 RANTOT :    1.09669638       GSTOT =    0.00000000    
 RANTOT :   0.575906157       GSTOT =    0.00000000    
 RANTOT :    1.34895945       GSTOT =    0.00000000    
 RANTOT :   0.626701832       GSTOT =    0.00000000    
 RANTOT :   0.311513454       GSTOT =    0.00000000    
 RANTOT :    1.19123793       GSTOT =    0.00000000    
 RANTOT :   0.824716747       GSTOT =    0.00000000    
 RANTOT :   0.853832304       GSTOT =    0.00000000    
 RANTOT :    1.15238786       GSTOT =    0.00000000    
 RANTOT :    1.35938048       GSTOT =    0.00000000    
 RANTOT :    1.51615429       GSTOT =    0.00000000    
 RANTOT :   0.794231951       GSTOT =    0.00000000    
 RANTOT :   0.750815451       GSTOT =    0.00000000    
 RANTOT :   0.473199695       GSTOT =    0.00000000    
 RANTOT :   0.668275893       GSTOT =    0.00000000    
 RANTOT :   0.696070969       GSTOT =    0.00000000    
 RANTOT :    1.07304406       GSTOT =    0.00000000    
 RANTOT :   0.907773733       GSTOT =    0.00000000    
 RANTOT :    1.22271919       GSTOT =    0.00000000    
 RANTOT :    1.00587738       GSTOT =    0.00000000    
 RANTOT :    1.26813626       GSTOT =    0.00000000    
 RANTOT :   0.923429370       GSTOT =    0.00000000    
 RANTOT :   0.687302828       GSTOT =    0.00000000    
 RANTOT :   0.854568064       GSTOT =    0.00000000    
 RANTOT :   0.682432532       GSTOT =    0.00000000    
 RANTOT :   0.228631750       GSTOT =    0.00000000    
 RANTOT :   0.163798332       GSTOT =    0.00000000    
 RANTOT :   0.702454090       GSTOT =    0.00000000    
 RANTOT :   0.671739280       GSTOT =    0.00000000    
 RANTOT :    1.45653653       GSTOT =    0.00000000    
 RANTOT :    1.26123250       GSTOT =    0.00000000    
 RANTOT :    1.04172039       GSTOT =    0.00000000    
 RANTOT :    1.10607028       GSTOT =    0.00000000    
 RANTOT :    1.10941625       GSTOT =    0.00000000    
 RANTOT :   0.203612909       GSTOT =    0.00000000    
 RANTOT :   0.130598873       GSTOT =    0.00000000    
 RANTOT :    1.35270774       GSTOT =    0.00000000    
 RANTOT :    1.35167968       GSTOT =    0.00000000    
 RANTOT :    1.44515824       GSTOT =    0.00000000    
 RANTOT :    1.39291668       GSTOT =    0.00000000    
 RANTOT :    1.44329429       GSTOT =    0.00000000    
 RANTOT :   0.290750682       GSTOT =    0.00000000    
 RANTOT :   0.846397400       GSTOT =   0.656690240    
 RANTOT :   0.496930659       GSTOT =    0.00000000    
 RANTOT :   0.595154822       GSTOT =    0.00000000    
 RANTOT :    1.07351327       GSTOT =    0.00000000    
 RANTOT :   0.229318827       GSTOT =   0.613397956    
 RANTOT :   0.685442805       GSTOT =    0.00000000    
 RANTOT :   0.350572526       GSTOT =    0.00000000    
 RANTOT :    1.48330498       GSTOT =    3.04685831E-02
 RANTOT :   0.547895908       GSTOT =    2.05099583E-03
 RANTOT :    1.41648722       GSTOT =    0.00000000    
 RANTOT :    1.49273205       GSTOT =    1.78946257E-02
 RANTOT :    1.49992633       GSTOT =    6.38234615E-03
 RANTOT :   0.251802832       GSTOT =    0.00000000    
 RANTOT :   0.415591061       GSTOT =    0.00000000    
 RANTOT :    1.22028375       GSTOT =    0.00000000    
 RANTOT :   0.143167645       GSTOT =    0.00000000    
 RANTOT :   0.213046893       GSTOT =    0.00000000    
 RANTOT :   0.394760519       GSTOT =    0.00000000    
 RANTOT :   0.141963273       GSTOT =    0.00000000    
 RANTOT :   0.307043403       GSTOT =    6.84407949E-02
 RANTOT :    1.46599472       GSTOT =    0.00000000    
 RANTOT :    7.07178861E-02   GSTOT =    0.00000000    
 RANTOT :   0.510307968       GSTOT =    4.72009182E-03
 RANTOT :    1.03618526       GSTOT =    0.00000000    
 RANTOT :   0.170708850       GSTOT =    0.00000000    
 RANTOT :    1.51390874       GSTOT =    0.00000000    
 RANTOT :    1.38220894       GSTOT =    0.00000000    
 RANTOT :    1.29694426       GSTOT =    0.00000000    
 RANTOT :    1.11884999       GSTOT =    1.15801096E-02
 RANTOT :    8.68749321E-02   GSTOT =    0.00000000    
 RANTOT :    1.26039875       GSTOT =    0.00000000    
 RANTOT :   0.510215580       GSTOT =    0.00000000    
 RANTOT :   0.214764684       GSTOT =    0.00000000    
 RANTOT :    5.55213206E-02   GSTOT =    0.00000000    
 RANTOT :   0.740325868       GSTOT =    0.00000000    
