 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            1 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =           -1
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =           -1
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            1 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
 NFP(JP,10) =            0 NFT(JT,10) =            0
