 IDQ =            2  IDQQ =         1103
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2103
 IDQ =            1  IDQQ =         2103
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2103
 IDQ =            1  IDQQ =         2103
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2103
 IDQ =            1  IDQQ =         2103
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2103
 IDQ =            1  IDQQ =         2103
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2103
 IDQ =            1  IDQQ =         2103
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            1  IDQQ =         2103
 IDQ =            1  IDQQ =         2103
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2103
 IDQ =            1  IDQQ =         2103
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            1  IDQQ =         2103
 IDQ =            1  IDQQ =         2103
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2103
 IDQ =            1  IDQQ =         2103
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            1  IDQQ =         2103
 IDQ =            1  IDQQ =         2103
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2103
 IDQ =            1  IDQQ =         2103
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2103
 IDQ =            1  IDQQ =         2103
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2103
 IDQ =            1  IDQQ =         2103
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2103
 IDQ =            1  IDQQ =         2103
 IDQ =            1  IDQQ =         2103
 IDQ =            1  IDQQ =         2103
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2103
 IDQ =            1  IDQQ =         2103
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            1  IDQQ =         2101
 IDQ =            1  IDQQ =         2101
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            2  IDQQ =         1103
 IDQ =            1  IDQQ =         2103
 IDQ =            1  IDQQ =         2103
 IDQ =            1  IDQQ =         2101
