        -2       263         2        -2    0.1729    2.6523    0.0538    0.0056    2.6585   -1.4476   -0.6197   -0.6492    2.9979
         1       263         1         1   -0.0252   -0.1019    0.2019    0.0099    0.2278   -2.2571   -4.5461    3.0965    3.6487
        -3      1115         2        -3    0.5841    0.7428   -0.5756    0.1990    1.1242   -0.5784    2.4891   -0.8564    2.4963
         3      1115         1         3   -0.1593    0.4347   -0.5949    0.1990    0.7796   -1.5240    1.0066   -0.6882    1.0577
         1       242         1         1   -0.0473   -0.0851    0.0559    0.0099    0.1127   -1.4334   -0.6565    1.3157    4.3490
        -2       242         2        -2    0.2017   -0.1476    0.2644    0.0056    0.3639   -1.8455   -3.5544    2.0817    2.4363
        -2       941         2        -2   -0.8257   -0.4525   -0.1701    0.0056    0.9569   -1.8618    2.2823   -0.8227    1.8026
         3       941         1         3   -0.3167    0.1057   -0.0129    0.1990    0.3889   -3.1930    3.2288   -0.9281    2.2406
        -1        75         3        -1    0.1532   -0.1280   -0.3594    0.0099    0.4112   -0.3898   -2.3359   -6.1744    7.2738
        -1        75         1        -1    0.1447   -0.1069    0.3241    0.0099    0.3708    0.1971   -1.7035    0.5149    1.2514
        -2        75         2        -2   -0.4044    0.8860   -0.2539    0.0056    1.0065    0.4076   -0.8407   -0.3414    1.7913
         3      1393         1         3    0.1770   -0.9894   -0.0807    0.1990    1.0278   -2.7298   -9.8553   -2.2256    7.0784
        -1      1393         2        -1    0.4771   -0.5433   -0.2559    0.0099    0.7670   -3.0005   -4.5176   -0.6567    1.9783
        -3      1135         2        -3   -2.4714    0.0355   -1.3299    0.1990    2.8137   -3.5921   -2.3048   -0.0393    0.0850
         1      1135         1         1   -0.1044   -0.0551    0.0079    0.0099    0.1187   -3.5783   -2.4155   -0.0646    0.1998
        -3       333         1        -3   -0.3327   -0.0873   -0.1606    0.1990    0.4286   -0.5839    0.4388   -0.9553    2.4909
        -1       333         3        -1    0.2258    0.4159   -0.0097    0.0099    0.4735   -0.7853    1.6687   -0.1338    1.3215
        -2       333         2        -2    0.0805    0.0802    0.0507    0.0056    0.1246   -0.8076    1.6565   -0.1170    1.2211
         3        32         1         3    0.0607   -0.0684   -0.1145    0.1990    0.2471   -1.7666   -2.3790   -2.3018    2.9330
        -2        32         2        -2    0.2522   -0.2007   -0.1200    0.0056    0.3440   -1.9126   -3.0505   -0.3839    0.6494
        -1       617         2        -1    0.1464   -0.0288    0.0116    0.0099    0.1499    0.3499    2.8430    2.3460    4.8753
         1       617         1         1    0.3023    1.3214   -1.0612    0.0099    1.7216   -1.9193    1.8664   -0.2882    0.5868
         2       947         1         2    0.7317    0.9971    0.4856    0.0056    1.3286   -1.3205    2.4381    0.0377    0.0918
        -2       947         2        -2    0.6986    0.8169    0.4733    0.0056    1.1745   -0.8300    3.1345    0.4779    1.0507
        -2       989         2        -2    0.2372    1.5696   -0.6355    0.0056    1.7099   -1.2294    3.5459   -0.0380    0.0928
        -2       989         1        -2    0.1798    0.4674   -0.1533    0.0056    0.5237   -1.2294    3.5459   -0.0380    0.0928
        -1       989         3        -1   -0.1694    0.0769   -0.2550    0.0099    0.3158   -1.2294    3.5459   -0.0380    0.0928
         2      1179         1         2    1.4836   -0.1860   -0.4525    0.0056    1.5622   -2.2796    2.0266   -0.1863    0.6083
        -1      1179         2        -1    0.4098    0.8141   -1.1401    0.0099    1.4597   -1.5645    2.2626   -0.6812    1.4881
         1       188         1         1   -0.6349   -0.6723    0.3602    0.0099    0.9925   -2.0628   -0.9827    0.0722    1.2385
        -1       188         2        -1   -0.4172   -0.1015    0.0989    0.0099    0.4407   -3.8023   -1.4238    1.3932    3.1478
        -1       616         3        -1   -0.0587   -0.2627    0.2759    0.0099    0.3856   -2.1422   -0.5106    2.6277    3.6512
        -1       616         1        -1    0.0884   -0.2991    0.3498    0.0099    0.4688   -3.7468   -2.5024    2.8811    5.1679
        -2       616         2        -2   -1.1525    0.1296    0.3707    0.0056    1.2176   -2.3780    1.5419    0.3521    0.8696
         2       439         1         2    0.0388   -1.0692    0.7238    0.0056    1.2918   -1.2802   -3.3422    0.5558    1.7793
        -1       439         2        -1    0.4849    0.2349   -1.3210    0.0099    1.4267   -0.7579   -1.4606   -2.7968    3.1353
         2       374         1         2   -0.7238    0.0358   -1.3102    0.0056    1.4973   -0.7339    2.4805   -5.5283    6.3769
        -3       374         2        -3   -2.2002    0.5946   -2.2641    0.1990    3.2187    2.2864    2.4155   -0.0724    0.0976
         2       433         1         2   -0.2538    0.2244   -0.7085    0.0056    0.7854   -1.3205    0.0237   -1.0909    2.4210
         2       433         2         2    0.1595    1.4919   -0.1724    0.0056    1.5102   -1.3090   -0.3291   -0.9347    3.3778
         2       433         3         2   -0.5062    0.5415   -0.6713    0.0056    1.0001   -1.3610   -1.0910   -0.3443    1.0954
         1       313         3         1    0.5740   -0.4701   -0.1915    0.0099    0.7663    0.2955    1.4798   -0.2600    1.0083
         1       313         2         1    0.3563   -0.0798    0.1031    0.0099    0.3795   -1.0786   -0.8175   -0.6010    3.0118
         1       313         1         1    0.0233    0.8026   -0.2887    0.0099    0.8533   -0.2195    2.0352   -0.1568    0.3843
         1       252         3         1   -0.2139    0.0499    0.2580    0.0099    0.3390   -2.9287   -1.3019    0.7187    1.6029
         1       252         1         1   -0.2576   -0.2419   -0.2795    0.0099    0.4506   -0.2257   -1.7114   -6.2564    7.4013
         1       252         2         1    0.1389    0.0074    0.0709    0.0099    0.1565   -0.5614   -0.7706   -0.0567    3.4926
