 indx, ityp, x, y, z, t, px, py, pz, e, mass       , vx, vy, vz
       812         2   -0.9171   -1.8697   -0.0276    0.0981   -0.0631    0.6267   -0.5543    0.8391    0.0056   -0.3465    0.6767   -0.2809
       813         2   -0.9171   -1.8697   -0.0276    0.0981   -0.2407   -0.0893   -0.1475    0.2961    0.0056   -0.3465    0.6767   -0.2809
       814         2   -0.9171   -1.8697   -0.0276    0.0981   -0.4513    0.9372    0.0896    1.0441    0.0056   -0.3465    0.6767   -0.2809
       602         1   -0.1120    1.8056   -0.0479    0.0983    0.1195    1.3850   -0.8336    1.6209    0.0099   -0.1845    0.7427   -0.4871
       601         1   -0.1120    1.8056   -0.0479    0.0983   -0.1776   -0.0140   -0.0548    0.1866    0.0099   -0.1845    0.7427   -0.4871
       600         1   -0.1120    1.8056   -0.0479    0.0983   -0.4264    0.5798   -0.3910    0.8191    0.0099   -0.1845    0.7427   -0.4871
       489         1   -2.2838   -2.4454    0.0494    0.0992   -0.2512    1.0240    1.1524    1.5620    0.0099    0.0240    0.7226    0.4983
       487         1   -2.2838   -2.4454    0.0494    0.0992   -0.0119    0.1992   -0.1582    0.2548    0.0099    0.0240    0.7226    0.4983
       488         1   -2.2838   -2.4454    0.0494    0.0992    0.3265    0.6867    0.3226    0.8260    0.0099    0.0240    0.7226    0.4983
       828        -2   -0.9280   -1.8552    0.0280    0.0992    0.0340    0.1003    0.0897    0.1389    0.0056   -0.4524    0.8145    0.2818
       827         3   -0.9280   -1.8552    0.0280    0.0992   -1.0096    1.6561    0.5179    2.0173    0.1990   -0.4524    0.8145    0.2818
       933         1   -2.7542   -3.1658   -0.0295    0.1016    0.0073    0.7817   -0.4072    0.8815    0.0099   -0.2443    0.7396   -0.2907
       934         1   -2.7542   -3.1658   -0.0295    0.1016   -0.4449    0.6843   -0.4727    0.9433    0.0099   -0.2443    0.7396   -0.2907
       935         1   -2.7542   -3.1658   -0.0295    0.1016   -0.0800    0.1010    0.2640    0.2940    0.0099   -0.2443    0.7396   -0.2907
      1526        -2    2.6615   -0.6017   -0.0390    0.1020    0.0496   -0.2447    0.2138    0.3288    0.0056   -0.2774   -0.7305   -0.3827
      1527        -1    2.6615   -0.6017   -0.0390    0.1020   -0.3158   -0.3901   -0.2765    0.5732    0.0099   -0.2774   -0.7305   -0.3827
      1525        -3    2.6615   -0.6017   -0.0390    0.1020   -0.3616   -1.0186   -0.8036    1.3615    0.1990   -0.2774   -0.7305   -0.3827
       965         2   -2.5806    3.6356   -0.0038    0.1023    0.7552    1.1019   -0.2455    1.3582    0.0056    0.4462    0.8477   -0.0372
       966        -2   -2.5806    3.6356   -0.0038    0.1023    0.1055    0.5333    0.1738    0.5707    0.0056    0.4462    0.8477   -0.0372
       623         1   -0.3681    2.0499   -0.0312    0.1023    0.1971   -0.6668   -0.4511    0.8289    0.0099    0.1705   -0.7482   -0.3052
       622         3   -0.3681    2.0499   -0.0312    0.1023    0.0351   -0.8789   -0.4492    1.0075    0.1990    0.1705   -0.7482   -0.3052
       624         1   -0.3681    2.0499   -0.0312    0.1023    0.1298   -0.0432    0.2522    0.2871    0.0099    0.1705   -0.7482   -0.3052
      1997         2    0.4567    0.7270   -0.0094    0.1024   -0.3266    0.3890    0.3723    0.6298    0.0056   -0.5457    0.4753   -0.0913
      1998         2    0.4567    0.7270   -0.0094    0.1024   -0.4436    0.2157   -0.6995    0.8559    0.0056   -0.5457    0.4753   -0.0913
      1999         2    0.4567    0.7270   -0.0094    0.1024   -0.2887    0.3176    0.1499    0.4547    0.0056   -0.5457    0.4753   -0.0913
      1524        -2    2.7610   -0.4708    0.0252    0.1025    1.1412    0.4577    0.2839    1.2619    0.0056    0.6954    0.5508    0.2457
      1523         3    2.7610   -0.4708    0.0252    0.1025    0.2813    0.6691    0.2188    0.7838    0.1990    0.6954    0.5508    0.2457
      1456         2    0.1522   -0.9347    0.0497    0.1030    0.2590    0.2546   -0.0247    0.3641    0.0056    0.6212    0.3738    0.4821
      1457         1    0.1522   -0.9347    0.0497    0.1030    0.9837    0.3473    1.3054    1.6711    0.0099    0.6212    0.3738    0.4821
      1455         1    0.1522   -0.9347    0.0497    0.1030    0.3045    0.3291   -0.0800    0.4555    0.0099    0.6212    0.3738    0.4821
      1845         1   -1.1794    3.5237   -0.0527    0.1033    0.0429   -0.0439    0.0781    0.0998    0.0099    0.5712    0.5304   -0.5098
      1844         2   -1.1794    3.5237   -0.0527    0.1033    0.8859    0.5908   -0.6852    1.2662    0.0056    0.5712    0.5304   -0.5098
      1843         2   -1.1794    3.5237   -0.0527    0.1033    0.5430    0.8198   -0.7065    1.2109    0.0056    0.5712    0.5304   -0.5098
        26        -2    0.2788   -1.0320   -0.0264    0.1043    0.6448    0.4819   -0.5956    1.0014    0.0056    0.8212    0.2546   -0.2529
        25         1    0.2788   -1.0320   -0.0264    0.1043    1.0117    0.0317    0.0855    1.0158    0.0099    0.8212    0.2546   -0.2529
       456         1   -2.2005   -2.5438   -0.0362    0.1060    0.9761   -0.4150   -0.8490    1.3587    0.0099    0.8085   -0.2520   -0.3416
       457        -1   -2.2005   -2.5438   -0.0362    0.1060    0.7256   -0.1155    0.1300    0.7462    0.0099    0.8085   -0.2520   -0.3416
        44        -2   -2.2403    0.8671    0.0218    0.1076    0.4162   -0.4421    0.1172    0.6184    0.0056    0.5929   -0.7762    0.2025
        43         2   -2.2403    0.8671    0.0218    0.1076    0.7158   -1.0399    0.2695    1.2909    0.0056    0.5929   -0.7762    0.2025
      1022         2   -3.3613   -2.4651   -0.0460    0.1083    1.1003    1.2891   -0.6379    1.8109    0.0056    0.6122    0.6195   -0.4246
